code1c,nomen,mdmcodenomen
"0000085916","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0783"
"0000085917","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0784"
"0000085918","Двутавр 35К2 (ГОСТ/СТО)","043-00024-0784"
"0000085919","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0784"
"0000085920","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0784"
"0000085921","Двутавр 25Б1 (ГОСТ/СТО)","043-00022-0784"
"0000085922","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0784"
"0000085923","Двутавр 50Ш1 (ГОСТ/СТО)","043-00023-0784"
"0000085924","Двутавр 60Ш1 (ГОСТ/СТО)","043-00020-0784"
"0000085925","Двутавр 40Б2 (ГОСТ/СТО)","043-00032-0784"
"0000085926","Двутавр 40К1 (ГОСТ/СТО)","043-00027-0784"
"0000085927","Двутавр 40Ш1 (ГОСТ/СТО)","043-00002-0784"
"0000085928","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0784"
"0000085929","Двутавр 40Ш2 (ГОСТ/СТО)","043-00001-0784"
"0000085930","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0789"
"0000085931","Двутавр 45М (ГОСТ/СТО)","043-00004-0550"
"0000085932","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0784"
"0000085933","Двутавр 20К2 (ГОСТ/СТО)","043-00042-0784"
"0000085934","Двутавр 35К1 (ГОСТ/СТО)","043-00035-0784"
"0000085935","Двутавр 70Ш1 (ГОСТ/СТО)","043-00052-0784"
"0000085936","Двутавр 70Ш2 (ГОСТ/СТО)","043-00053-0575"
"0000085937","Двутавр 40К3 (ГОСТ/СТО)","043-00008-0575"
"0000085938","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0784"
"0000085939","Двутавр 40К3 (ГОСТ/СТО)","043-00008-0784"
"0000085940","Двутавр 40К2 (ГОСТ/СТО)","043-00028-0784"
"0000085941","Двутавр 50Ш2 (ГОСТ/СТО)","043-00044-0784"
"0000085942","Двутавр 60Ш2 (ГОСТ/СТО)","043-00054-0784"
"0000085943","Двутавр 14Б1 (ГОСТ/СТО)","043-00050-0630"
"0000085944","Двутавр 36М (ГОСТ/СТО)","043-00015-0784"
"0000085945","Двутавр 18 (ГОСТ/СТО)","043-00069-0784"
"0000085946","Двутавр 55Б1 (ГОСТ/СТО)","043-00063-0784"
"0000085947","Двутавр 30М (ГОСТ/СТО)","043-00041-0784"
"0000085948","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0783"
"0000085949","Двутавр 55Б1 (ГОСТ/СТО)","043-00063-0783"
"0000085950","Двутавр 50Ш3 (ГОСТ/СТО)","043-00038-0575"
"0000085951","Двутавр 70Б1 (ГОСТ/СТО)","043-00056-0784"
"0000085952","Двутавр 25К1 (ГОСТ/СТО)","043-00047-0784"
"0000085953","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0784"
"0000085954","Двутавр 70Б2 (ГОСТ/СТО)","043-00057-0784"
"0000085955","Двутавр 60Б1 (ГОСТ/СТО)","043-00051-0784"
"0000085956","Двутавр 50Ш3 (ГОСТ/СТО)","043-00038-0784"
"0000085957","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0550"
"0000085958","Двутавр 55Б2 (ГОСТ/СТО)","043-00055-0784"
"0000085959","Двутавр 45Б1 (ГОСТ/СТО)","043-00043-0784"
"0000085960","Двутавр 70Ш2 (ГОСТ/СТО)","043-00053-0784"
"0000085961","Двутавр 24М (ГОСТ/СТО)","043-00012-0784"
"0000085962","Двутавр 45М (ГОСТ/СТО)","043-00004-0784"
"0000085963","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0784"
"0000085964","Двутавр 40К5 (ГОСТ/СТО)","043-00046-0575"
"0000085965","Двутавр 18Б2 (ГОСТ/СТО)","043-00070-0550"
"0000085966","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0784"
"0000085967","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0783"
