code1c,mdmcodenomen,nomen
ОА-ОА001611,043-00053-0783,"Двутавр 70Ш2 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001679,043-00054-0575,"Двутавр 60Ш2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001680,043-00055-0575,"Двутавр 55Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001687,043-00056-0575,"Двутавр 70Б1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001688,043-00057-0575,"Двутавр 70Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001694,043-00058-0575,"Двутавр 30Б1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001696,043-00011-0575,"Двутавр 25К2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001699,043-00003-0575,"Двутавр 50Ш4 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001713,043-00059-0575,"Двутавр 50Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001748,043-00060-0575,"Двутавр 50Б3 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001872,043-00061-0575,"Двутавр 45Ш2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001884,043-00027-0783,"Двутавр 40К1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001887,043-00062-0546,"Двутавр 12Б1 ГОСТ 26020 09Г2С-12 дл.12,0"
ОА-ОА001901,043-00050-0550,"Двутавр 14Б1 ГОСТ 26020 09Г2С-15 дл.12,0"
ОА-ОА001929,043-00005-0784,"Двутавр 40К4 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002030,043-00063-0575,"Двутавр 55Б1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА002052,043-00004-0575,"Двутавр 45М СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА002114,043-00014-0783,"Двутавр 25Ш1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002136,043-00044-0783,"Двутавр 50Ш2 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002335,043-00009-0783,"Двутавр 35Б1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002358,043-00033-0555,"Двутавр 20Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
ОА-ОА002466,043-00029-0783,"Двутавр 30Ш1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002467,043-00035-0783,"Двутавр 35К1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002477,043-00058-0784,"Двутавр 30Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002478,043-00029-0784,"Двутавр 30Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
